LAT,LON,YEAR,MO,DY,RH2M,QV2M,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
46.06891,11.12121,2020,1,1,70.75,0.002656,2.81,-6.06,-2.05,8.87
46.06891,11.12121,2020,1,2,77.67,0.003067,3.34,-4.59,-1.37,7.93
46.06891,11.12121,2020,1,3,82.27,0.003101,2.8,-7.18,-2.07,9.99
46.06891,11.12121,2020,1,4,86.95,0.003082,3.29,-6.88,-2.92,10.17
46.06891,11.12121,2020,1,5,76.91,0.00245,0.61,-8.01,-4.29,8.62
46.06891,11.12121,2020,1,6,74.32,0.002445,1.69,-8.13,-3.85,9.82
46.06891,11.12121,2020,1,7,89.67,0.002926,2.57,-7.55,-4,10.12
46.06891,11.12121,2020,1,8,70.55,0.002501,2.89,-8.07,-2.84,10.96
46.06891,11.12121,2020,1,9,49.06,0.002406,4.72,-1.07,1.54,5.79
46.06891,11.12121,2020,1,10,77.04,0.00296,3.13,-5.1,-1.86,8.23
46.06891,11.12121,2020,1,11,84.29,0.003017,3.17,-7.71,-2.73,10.88
46.06891,11.12121,2020,1,12,63.6,0.002348,2.38,-5.54,-2.33,7.91
46.06891,11.12121,2020,1,13,61,0.002385,2.25,-4.71,-1.61,6.97
46.06891,11.12121,2020,1,14,81.78,0.002833,1.84,-6.35,-3.26,8.19
46.06891,11.12121,2020,1,15,88.17,0.003244,2.48,-5.2,-2.41,7.68
46.06891,11.12121,2020,1,16,83.23,0.00314,2.59,-6.06,-2.01,8.65
46.06891,11.12121,2020,1,17,87.36,0.003696,3.5,-2.65,-0.53,6.15
46.06891,11.12121,2020,1,18,92.42,0.003249,-0.89,-6,-3.07,5.11
46.06891,11.12121,2020,1,19,81.86,0.002249,-1.17,-9.65,-6.25,8.48
46.06891,11.12121,2020,1,20,73.47,0.001883,-0.98,-12.81,-7.01,11.83
46.06891,11.12121,2020,1,21,64.32,0.002129,2.73,-9.17,-3.63,11.9
46.06891,11.12121,2020,1,22,56.62,0.002314,4.74,-3.58,-0.88,8.32
46.06891,11.12121,2020,1,23,56.37,0.002278,3.75,-3.73,-1.07,7.48
46.06891,11.12121,2020,1,24,66.54,0.002675,3.74,-4.77,-1.2,8.51
46.06891,11.12121,2020,1,25,88.08,0.003913,3.58,-1.77,0.11,5.35
46.06891,11.12121,2020,1,26,94.07,0.004182,3.36,-1.64,0.08,4.99
46.06891,11.12121,2020,1,27,91.74,0.003952,4.31,-2.6,-0.39,6.91
46.06891,11.12121,2020,1,28,92.3,0.003679,2.15,-4.4,-1.59,6.55
46.06891,11.12121,2020,1,29,71.61,0.002665,1.91,-5.29,-2.47,7.19
46.06891,11.12121,2020,1,30,74.76,0.002862,3.45,-6.25,-1.98,9.69
46.06891,11.12121,2020,1,31,87.48,0.004079,6.55,-4.09,0.71,10.64
46.06891,11.12121,2020,2,1,93.06,0.004284,4.74,-2.84,0.52,7.57
46.06891,11.12121,2020,2,2,91.09,0.004294,3.84,-1.75,0.87,5.59
46.06891,11.12121,2020,2,3,87.81,0.004786,7.51,0.16,2.88,7.35
46.06891,11.12121,2020,2,4,74.46,0.00305,1.67,-4.95,-1.19,6.62
46.06891,11.12121,2020,2,5,68.5,0.002151,-1.17,-7.97,-4.6,6.8
46.06891,11.12121,2020,2,6,62.88,0.001971,2.36,-10.05,-4.52,12.42
46.06891,11.12121,2020,2,7,65.84,0.002501,5.05,-7.49,-1.97,12.55
46.06891,11.12121,2020,2,8,79.53,0.00306,3.24,-6.49,-1.79,9.72
46.06891,11.12121,2020,2,9,88.4,0.003285,3.22,-6.65,-2.28,9.87
46.06891,11.12121,2020,2,10,86.93,0.003712,4.7,-3.82,-0.56,8.52
46.06891,11.12121,2020,2,11,71.76,0.002965,3.01,-4.84,-1.06,7.85
46.06891,11.12121,2020,2,12,61,0.002249,2.02,-5.16,-2.49,7.18
46.06891,11.12121,2020,2,13,75.25,0.002769,2.47,-6.54,-2.52,9
46.06891,11.12121,2020,2,14,80.76,0.003145,4.28,-6.3,-1.74,10.58
46.06891,11.12121,2020,2,15,79.81,0.003132,4.83,-7.24,-1.51,12.06
46.06891,11.12121,2020,2,16,83.37,0.003804,5.05,-2.48,0.54,7.52
46.06891,11.12121,2020,2,17,90.13,0.004355,5,-0.9,1.28,5.9
46.06891,11.12121,2020,2,18,74.55,0.003242,4.27,-3.6,-0.15,7.87
46.06891,11.12121,2020,2,19,77.78,0.002961,3.36,-5.7,-2.02,9.07
46.06891,11.12121,2020,2,20,74,0.002789,4.08,-7.31,-2.12,11.39
46.06891,11.12121,2020,2,21,72.09,0.002654,2.57,-6.46,-2.41,9.03
46.06891,11.12121,2020,2,22,68.72,0.003191,6.59,-4.98,0.84,11.56
46.06891,11.12121,2020,2,23,71.07,0.004336,9.71,1.6,4.6,8.11
46.06891,11.12121,2020,2,24,79.85,0.004937,9.66,2.07,4.72,7.6
46.06891,11.12121,2020,2,25,89.08,0.004764,6.61,0.61,2.5,5.99
46.06891,11.12121,2020,2,26,76.2,0.003162,2.83,-5.65,-1.15,8.48
46.06891,11.12121,2020,2,27,69.28,0.002278,0.43,-7,-4.19,7.43
46.06891,11.12121,2020,2,28,58.15,0.002133,1.79,-5.78,-2.61,7.57
46.06891,11.12121,2020,2,29,77.66,0.003011,1.52,-3.73,-1.87,5.26
46.06891,11.12121,2020,3,1,93.17,0.004125,3.65,-2.63,-0.19,6.28
46.06891,11.12121,2020,3,2,86.75,0.003602,0.77,-3.64,-1.17,4.4
46.06891,11.12121,2020,3,3,91.81,0.003419,-0.81,-5.88,-2.62,5.07
46.06891,11.12121,2020,3,4,81.36,0.002799,0.83,-6.85,-3.52,7.68
46.06891,11.12121,2020,3,5,92.56,0.003108,-0.85,-6.62,-3.89,5.77
46.06891,11.12121,2020,3,6,88.94,0.003389,1.86,-7.59,-2.3,9.46
46.06891,11.12121,2020,3,7,79.57,0.002854,2.1,-7.21,-2.93,9.32
46.06891,11.12121,2020,3,8,76.06,0.002709,3.32,-10.48,-2.93,13.8
46.06891,11.12121,2020,3,9,85.37,0.003524,1.86,-3.47,-1.01,5.33
46.06891,11.12121,2020,3,10,84.94,0.003713,3.51,-4.44,-0.19,7.94
46.06891,11.12121,2020,3,11,77.8,0.004818,10.39,-0.11,4.74,10.5
46.06891,11.12121,2020,3,12,83.91,0.005357,10.1,0.99,5.16,9.12
46.06891,11.12121,2020,3,13,80.61,0.004962,9.02,-0.26,4.6,9.29
46.06891,11.12121,2020,3,14,83.01,0.003892,3.7,-1.43,0.8,5.13
46.06891,11.12121,2020,3,15,85.31,0.003695,3.98,-2.87,-0.23,6.85
46.06891,11.12121,2020,3,16,72.28,0.003481,6.53,-3.74,1.28,10.27
46.06891,11.12121,2020,3,17,70.56,0.003931,9.44,-2.44,3.38,11.88
46.06891,11.12121,2020,3,18,72.99,0.004401,10.23,-0.78,4.5,11.02